time,open,high,low,close,tick_volume,spread,rsi,ovo,cvc,hvh,lvl,ATRr_14,cd_atr,rsi_cat,rsi_diff,body_size,range_size,body_vs_atr,range_vs_atr,candle_color,exec
9/12/2025 18:15,147.745,147.83,147.717,147.811,1371,22,56.2213042,1,1,1,1,0.107153529,0.63,2,1,0.066,0.113,0.62,1.06,1,BUY
9/12/2025 18:30,147.812,147.853,147.769,147.786,689,20,54.13647714,1,-1,1,1,0.105402405,-0.23,2,-1,0.026,0.084,0.24,0.78,-1,HOLD
9/12/2025 18:45,147.784,147.85,147.775,147.847,1114,22,58.20868268,-1,1,-1,1,0.103112665,0.58,2,1,0.063,0.075,0.6,0.71,1,HOLD
9/12/2025 19:00,147.846,147.856,147.82,147.844,685,22,57.93623154,1,-1,1,1,0.098077675,-0.03,2,-1,0.002,0.036,0.02,0.35,-1,HOLD
9/12/2025 19:15,147.844,147.864,147.756,147.756,684,20,50.47331199,-1,-1,1,-1,0.098819411,-0.9,2,-1,0.088,0.108,0.9,1.1,-1,TP
9/12/2025 19:30,147.757,147.773,147.65,147.65,601,21,43.24691914,-1,-1,-1,-1,0.100621021,-1.07,2,-1,0.107,0.123,1.08,1.24,-1,SELL
9/12/2025 19:45,147.65,147.689,147.62,147.672,567,21,45.0067489,-1,1,-1,-1,0.09827228,0.22,2,1,0.022,0.069,0.22,0.69,1,HOLD
9/12/2025 20:00,147.672,147.672,147.607,147.614,717,20,41.36504437,1,-1,-1,-1,0.095807909,-0.59,2,-1,0.058,0.065,0.59,0.66,-1,HOLD
9/12/2025 20:15,147.614,147.615,147.539,147.54,772,22,37.22632793,-1,-1,-1,-1,0.094344661,-0.77,2,-1,0.074,0.076,0.77,0.79,-1,HOLD
9/12/2025 20:30,147.539,147.559,147.512,147.535,540,20,36.95726432,-1,-1,-1,-1,0.090855745,-0.05,2,-1,0.004,0.047,0.04,0.5,-1,HOLD
9/12/2025 20:45,147.535,147.548,147.503,147.548,580,21,38.20780103,-1,1,-1,-1,0.087484181,0.14,2,1,0.013,0.045,0.14,0.5,1,HOLD
9/12/2025 21:00,147.548,147.549,147.5,147.506,586,21,35.74108186,1,-1,1,-1,0.084660535,-0.48,2,-1,0.042,0.049,0.48,0.56,-1,HOLD
9/12/2025 21:15,147.505,147.521,147.48,147.493,462,22,34.98813011,-1,-1,-1,-1,0.081463304,-0.15,2,-1,0.012,0.041,0.14,0.48,-1,HOLD
9/12/2025 21:30,147.493,147.523,147.47,147.483,522,21,34.3879969,-1,-1,1,-1,0.079382702,-0.12,2,-1,0.01,0.053,0.12,0.65,-1,HOLD
9/12/2025 21:45,147.482,147.492,147.46,147.474,438,20,33.82565514,-1,-1,-1,-1,0.075924908,-0.11,2,-1,0.008,0.032,0.1,0.4,-1,HOLD
9/12/2025 22:00,147.475,147.496,147.453,147.489,394,21,35.71257275,-1,1,1,-1,0.073525896,0.2,2,1,0.014,0.043,0.18,0.57,1,HOLD
9/12/2025 22:15,147.489,147.528,147.489,147.496,462,20,36.62081438,1,1,1,1,0.071013835,0.1,2,1,0.007,0.039,0.1,0.53,1,TP
9/12/2025 22:30,147.495,147.597,147.495,147.576,606,22,46.00884704,1,1,1,1,0.073265355,1.13,2,1,0.081,0.102,1.14,1.44,1,BUY
9/12/2025 22:45,147.575,147.588,147.559,147.573,672,21,45.7352603,1,-1,-1,1,0.070052904,-0.04,2,-1,0.002,0.029,0.03,0.4,-1,HOLD
9/12/2025 23:00,147.571,147.677,147.564,147.673,644,20,55.28099308,-1,1,1,1,0.073166124,1.43,2,1,0.102,0.113,1.46,1.61,1,HOLD
9/12/2025 23:15,147.674,147.677,147.632,147.647,586,21,52.685951,1,-1,0,1,0.071126535,-0.36,2,-1,0.027,0.045,0.37,0.62,-1,HOLD
9/12/2025 23:30,147.647,147.703,147.647,147.667,386,29,54.45700376,-1,1,1,1,0.070032257,0.28,2,1,0.02,0.056,0.28,0.79,1,HOLD
9/12/2025 23:45,147.664,147.668,147.642,147.661,437,23,53.80630424,1,-1,-1,-1,0.066849798,-0.09,2,-1,0.003,0.026,0.04,0.37,-1,TP
9/15/2025 0:15,147.538,147.544,147.526,147.526,19,167,41.72550766,-1,-1,-1,-1,0.071771228,-2.02,2,-1,0.012,0.018,0.18,0.27,-1,WAIT
9/15/2025 0:30,147.551,147.559,147.513,147.535,438,186,42.64997054,1,1,1,-1,0.069911634,0.13,2,1,0.016,0.046,0.22,0.64,-1,WAIT
9/15/2025 0:45,147.536,147.537,147.517,147.525,117,221,41.85544993,-1,-1,-1,1,0.066312747,-0.14,2,-1,0.011,0.02,0.16,0.29,-1,WAIT
9/15/2025 1:00,147.518,147.757,147.518,147.654,380,25,53.80946543,-1,1,1,1,0.078755972,1.95,2,1,0.136,0.239,2.05,3.6,1,BUY
9/15/2025 1:15,147.655,147.7,147.647,147.682,224,25,55.92746486,1,1,-1,1,0.076901254,0.36,2,1,0.027,0.053,0.34,0.67,1,HOLD
9/15/2025 1:30,147.681,147.699,147.666,147.697,194,22,57.0633105,1,1,-1,1,0.073741712,0.2,2,1,0.016,0.033,0.21,0.43,1,HOLD
9/15/2025 1:45,147.697,147.722,147.688,147.698,303,25,57.14261,1,1,1,1,0.070883076,0.01,2,1,0.001,0.034,0.01,0.46,1,HOLD
9/15/2025 2:00,147.697,147.713,147.653,147.699,437,24,57.22768252,0,1,-1,-1,0.070100645,0.01,2,1,0.002,0.06,0.03,0.85,1,HOLD
9/15/2025 2:15,147.7,147.7,147.616,147.649,446,23,51.70154342,1,-1,-1,-1,0.071099464,-0.71,2,-1,0.051,0.084,0.73,1.2,-1,TP
9/15/2025 2:30,147.649,147.713,147.642,147.684,214,23,54.97883517,-1,1,1,1,0.071092319,0.49,2,1,0.035,0.071,0.49,1,1,WAIT
9/15/2025 2:45,147.685,147.701,147.657,147.665,230,23,52.88109111,1,-1,-1,1,0.069147064,-0.27,2,-1,0.02,0.044,0.28,0.62,-1,WAIT
9/15/2025 3:00,147.665,147.666,147.593,147.62,1108,22,48.19114546,-1,-1,-1,-1,0.069423606,-0.65,2,-1,0.045,0.073,0.65,1.06,-1,SELL
